位置,次数,经度,纬度
庄士映蝶蓝湾 ,2,113.496982,22.965946
东方花园3区 ,2,113.379067,22.930968
福景园 ,2,113.34954,22.922723
雄峰城 ,2,113.303486,22.970797
德安新村 ,2,113.374279,22.935101
祈福新村天湖居 ,2,113.341657,22.95958
华南碧桂园岭御苑 ,2,113.373508,23.002543
侨联社区新城区 ,2,113.368161,22.941212
智联·汽车小镇 ,2,113.502361,23.017651
吉祥道 ,2,113.302857,23.041241
锦绣趣园 ,2,113.306168,22.974149
品秀·星瀚 ,2,113.267881,23.011534
祈福新村绿怡居 ,2,113.328488,22.964827
禺雅园 ,2,113.358501,22.939958
大西路 ,2,113.362239,22.935818
祈福新村A区 ,2,113.337878,22.963218
长江数码花园(番禺) ,2,113.306363,22.972427
亚运城天誉 ,2,113.486669,22.950567
万科金色城品 ,2,113.357097,22.912667
正太广场 ,2,113.356092,22.941412
瑞和园 ,2,113.370959,22.933563
敏捷华美国际 ,2,113.327517,23.008118
石碁城市花园 ,2,113.403494,22.940364
富豪山庄 ,2,113.349365,22.972158
东逸华庭 ,2,113.389633,22.926542
宝翠苑 ,2,113.349457,22.935084
番禺奥林匹克花园 ,2,113.367082,22.916619
富丽家园富昌花园 ,2,113.314655,23.019039
亚运城天骄 ,1,113.498592,22.946215
富丽家园丽水湾 ,1,113.314685,23.0295
金山谷尚层 ,1,113.347407,22.977775
星誉花园 ,1,113.358999,22.96271
时代倾城(番禺区) ,1,,
滨江绿园 ,1,113.3232,23.026185
盛会国际公寓 ,1,113.234151,23.091897
温馨里 ,1,113.357001,22.958673
雅居乐花园浅山小筑 ,1,113.370514,23.004848
吉祥北街 ,1,113.300983,23.042285
亚运城运动员村三区 ,1,,
金沙诚筑 ,1,113.354256,22.913814
广州星河湾朗心园 ,1,113.33117,23.027433
华南新城北区 ,1,113.349055,23.025279
富丽家园百丰楼 ,1,113.313491,23.021844
海傍路海傍后街 ,1,113.364106,22.933409
东晟明珠花园 ,1,113.284701,23.101445
悦尚公馆 ,1,113.316485,23.016577
华南碧桂园翠云山 ,1,113.379168,23.002162
祈福新村D区 ,1,113.340938,22.961283
吉祥北园D区 ,1,113.297198,23.043735
亚运城天成 ,1,113.476266,22.946748
保利公馆2010亚奥南苑 ,1,113.489449,22.966253
富庭华园 ,1,113.313757,23.023444
自在城市花园一二期 ,1,113.35269,22.990866
星河湾赏心园 ,1,113.335371,23.026435
金海岸花园聚湖 ,1,113.408906,22.932249
康裕北苑 ,1,113.353831,22.946938
富庭东园 ,1,113.315837,23.019514
顺德碧桂园东苑 ,1,113.286547,22.953192
丹桂园 ,1,113.357988,22.947758
广州碧桂园雅苑 ,1,113.287531,23.030249
祈福新村迎风阁 ,1,113.318615,22.959471
富丽家园福宁园 ,1,113.317557,23.027713
南浦长大公司 ,1,113.433251,23.447435
海伦堡花样年华一期 ,1,113.354888,22.923668
江山帝景 ,1,113.356617,23.024276
雅居乐花园雅湖居 ,1,113.368202,23.006633
中颐海伦堡花样年华二期 ,1,113.352082,22.925247
如意花园 ,1,113.301744,23.040197
锦绣生态园 ,1,113.306446,22.968126
华荟南景园 ,1,113.370507,22.926758
华怡居 ,1,113.377724,22.947353
锦绣香江花园山水华府 ,1,113.338337,22.995761
银行后街 ,1,113.257197,23.385866
尚东尚筑 ,1,,
尚东嘉御 ,1,113.327288,22.942729
松苑小区 ,1,113.489994,22.969513
万丰路 ,1,113.372851,22.93659
南兴花园(番禺区) ,1,113.395195,23.003267
富庭雅园北区 ,1,113.434156,22.957701
奥园莲峰圣境 ,1,113.491517,22.996887
祈福新村都市活力花园 ,1,,
美心花园 ,1,113.399368,22.94178
喜盈雅境 ,1,113.361708,22.91741
富丽家园三和大厦 ,1,113.316389,23.01735
美心东苑 ,1,113.400817,22.939644
景福大厦 ,1,113.364308,22.939321
广州星河湾星河六号园 ,1,113.330594,23.026947
亚运城天韵 ,1,113.494934,22.947117
鑫隆世家 ,1,113.489465,22.96223
中环品悦 ,1,113.329712,23.01118
珑翠花园 ,1,113.311326,22.99307
侨宫苑 ,1,113.353611,22.930848
园丰小区 ,1,113.372534,22.936678
江南新村 ,1,113.268737,23.095502
解放路(市桥) ,1,113.362892,22.942502
光明北路241号大院 ,1,113.361589,22.949337
祈福新村绿怡南路 ,1,113.330741,22.961761
市桥大南路 ,1,113.365331,22.935557
富丽家园 ,1,113.317518,23.027719
工业路 ,1,113.274668,23.049171
顺德碧桂园彩云居 ,1,113.285025,22.953614
邮电局大厦 ,1,,
广州雅居乐花园花巷 ,1,113.36756,23.009582
碁龙西路 ,1,113.431242,22.955881
广晟万博城 ,1,113.349915,23.004675
裕林苑 ,1,113.356561,22.939984
恒生苑 ,1,113.388551,23.006584
芳华花园洛涛居北区 ,1,,
盈创水悦轩 ,1,113.390684,22.925805
西兴苑 ,1,113.357193,22.930893
海印总统公馆 ,1,113.348885,22.999999
石碁荔新大道 ,1,113.436518,22.953102
富丽家园渝达大厦 ,1,113.317538,23.016663
广州雅居乐花园雅翠庭 ,1,113.358287,23.01283
华海大厦 ,1,113.359899,22.938952
富丽家园朝阳西路 ,1,113.31011,23.025724
富丽家园华贵大厦 ,1,113.311062,23.023723
天睿 ,1,113.302606,23.016584
田心社区 ,1,113.362212,22.934924
广州雅居乐花园时光九篇 ,1,113.373966,23.010603
德祥路 ,1,113.373004,22.934159
粮所宿舍 ,1,,
西城路(番禺区) ,1,,
繁华路 ,1,113.428345,23.005239
恒盛苑 ,1,113.315308,22.975288
西城花园 ,1,113.352765,22.93616
顺景苑(番禺区) ,1,,
北城白云花园 ,1,113.36806,22.951307
新广路 ,1,113.416238,23.034335
东圆新村 ,1,113.348226,22.911612
番禺永兴楼 ,1,113.383917,22.93756
鸿禧华庭 ,1,,
番艺花园 ,1,113.373015,22.954005
金侨岭南院 ,1,113.463744,23.005759
万科云城米酷 ,14,113.407653,23.166136
远洋天骄广场 ,14,113.336054,23.175335
环宇花园 ,12,113.354013,23.134241
新燕花园 ,8,113.327909,23.163514
天河新天地 ,8,113.345205,23.172052
富力万科云启 ,8,113.397426,23.129992
铂林国际公寓 ,7,,
阳光家园(天河) ,6,113.337976,23.127678
星河苑 ,6,113.301913,23.149337
恒大珺睿 ,6,113.342858,23.125167
保利林海山庄 ,6,113.358627,23.192699
先烈东横路 ,5,113.303037,23.14896
侨乐新村 ,5,113.32222,23.163564
富力爱丁堡国际公寓 ,5,113.316139,23.117612
宝翠园 ,5,113.362363,23.192031
天健上城 ,5,113.392766,23.140982
保利世纪绿洲一期 ,4,113.367008,23.190203
力迅上筑 ,4,,
先烈东路 ,4,113.308311,23.149053
天鹅花苑 ,3,113.350989,23.168865
瑞心苑 ,3,113.331494,23.156683
广信牡丹阁 ,3,113.327587,23.127597
金地天河峯睿 ,3,113.392388,23.135672
易丰大厦 ,3,113.352299,23.12909
龙岗东小区 ,3,113.312814,23.149425
中强雅苑 ,3,113.314202,23.150499
侨源山庄 ,3,113.330978,23.153988
公路局大院 ,3,113.305655,23.15095
陶苑小区 ,3,113.323241,23.165472
铂金公寓 ,3,113.609347,23.12526
财富世纪广场 ,2,113.340884,23.12469
富星商贸大厦 ,2,113.324995,23.127884
远洋天骄 ,2,113.336054,23.175335
民政局大院 ,2,,
棠德花苑 ,2,113.381765,23.134095
水荫路永福正街 ,2,113.306675,23.145269
信成小区 ,2,113.331976,23.139709
龙岗路34号大院 ,2,113.311332,23.149236
骏景花园 ,2,113.385167,23.122358
御晖苑 ,2,113.334228,23.144099
先烈东二横路 ,2,113.307502,23.150227
金建苑 ,2,113.330471,23.160298
建丽花园 ,2,113.359238,23.166472
耀星华庭 ,2,113.331693,23.14399
橡树园 ,2,113.328364,23.168734
富力天朗明居 ,2,113.391635,23.126221
天逸名都 ,2,,
天惠大厦 ,2,113.343278,23.139548
迎翠春庭 ,2,,
光机电研究所 ,2,,
广之旅大厦 ,2,113.344075,23.145948
水务局三防办 ,2,113.293098,23.133308
天诚广场 ,2,113.341,23.142602
东河苑 ,1,,
叠翠台 ,1,113.362058,23.13271
华南国家植物园  ,1,113.367139,23.181902
国光小区 ,1,113.338615,23.140005
天河北苑 ,1,113.326717,23.167053
法院小区  ,1,113.404449,23.115392
燕塘大院 ,1,113.326321,23.161696
电子五所宿舍 ,1,113.681723,23.275091
华景新城叠翠居 ,1,113.361978,23.140271
聚侨苑 ,1,113.319418,23.130411
金富苑 ,1,113.344878,23.144621
美林湖畔花园 ,1,113.415302,23.109281
广东建材学校宿舍 ,1,,
天河区离退休干部第二休养所 ,1,,
禺东西路大洲地 ,1,113.314854,23.150116
兴禺大厦 ,1,113.318938,23.153145
象牙厂宿舍 ,1,113.343192,23.161211
司法局宿舍(天河区) ,1,113.25904,23.1363
水荫四横路 ,1,113.311718,23.147113
天河鸿运花园 ,1,113.367641,23.122843
南兴花园(天河区) ,1,113.395195,23.003267
瘦狗岭路9号大院 ,1,113.404424,23.13133
联泰天河YOHO ,1,113.405565,23.163776
龙岗路 ,1,113.310219,23.149143
广东工业大学沙河校区 ,1,113.3052,23.148
冠庭园 ,1,113.316556,23.162845
德荣小区 ,1,113.333947,23.137697
粤垦路红英街 ,1,113.3262,23.157979
南方电网宿舍 ,1,113.318964,23.132887
银燕大厦 ,1,113.216895,23.39438
育龙居 ,1,113.362803,23.188867
保利世纪绿洲二期 ,1,113.368975,23.190278
金燕花苑 ,1,113.329213,23.157812
先烈东横路7号大院 ,1,113.306417,23.149382
力达广场 ,1,113.327581,23.156951
沙和路沙东大街 ,1,113.309919,23.154249
杂技团宿舍 ,1,,
金碧翡翠华庭 ,1,113.341866,23.14337
卫生院宿舍 ,1,,
加拿大花园 ,1,113.36758,23.13633
恒达苑 ,1,113.327486,23.145217
有色金属研究院西生活区 ,1,113.387114,23.042476
广厦居 ,1,113.370131,23.121421
有色金属研究院东生活区 ,1,113.362043,23.167745
天雅阁 ,1,113.337122,23.145693
员村西街7号大院 ,1,113.36014,23.121624
凯旋新世界枫丹丽舍 ,1,113.33963,23.116878
龙口花苑 ,1,113.335223,23.139598
广利路 ,1,113.318694,23.130086
保利天汇 ,1,113.413207,23.153225
翰景轩 ,1,113.351661,23.141839
兰亭盛荟 ,1,113.406051,23.113362
天一新村 ,1,113.336659,23.156297
农工商学院 ,1,,
杨箕东小区 ,1,113.317636,23.12799
天河直街102-120号宿舍(双号) ,1,113.318038,23.136258
振东花苑 ,1,113.410075,23.12569
六运小区 ,1,113.323043,23.13009
江源半岛花园 ,1,113.29376,23.103927
竹丝岗大马路 ,24,113.293613,23.128062
东华东路 ,20,113.290819,23.121187
农林下路 ,16,113.297696,23.12938
环市东路 ,15,113.293214,23.135139
梅花村 ,13,113.305896,23.127078
盘福路 ,10,113.259215,23.133346
解放北路(越秀区) ,10,,
大德路 ,9,113.259438,23.118095
水荫路 ,9,113.311654,23.143366
水荫直街 ,8,113.308674,23.139214
东川路 ,8,113.286208,23.12292
解放中路 ,8,113.262574,23.122906
小北路 ,7,113.271763,23.134039
竹丝岗二马路 ,7,113.296188,23.128508
永福路永福西约 ,7,113.302899,23.147246
万科金色家园 ,7,113.298975,23.130646
淘金路 ,7,113.287725,23.138566
大新路 ,6,113.257055,23.115532
文德路 ,6,113.271786,23.122986
黄田小区 ,6,113.463622,23.661174
华侨乐园 ,6,113.290183,23.142804
东华西路 ,6,113.282264,23.122028
惠福西路 ,6,113.259128,23.119982
中山四路 ,5,113.274075,23.126538
下塘西路 ,5,113.272469,23.152616
东方花苑 ,5,113.314227,23.127766
建设二马路 ,5,113.282206,23.135296
竹丝村 ,5,113.291884,23.130298
气象局大院 ,5,113.303056,23.129262
五羊小区 ,5,113.370313,23.122165
达道路 ,5,113.30176,23.121987
区庄村 ,5,113.295541,23.134807
海珠北路 ,4,113.257846,23.127422
共和南路 ,4,113.400006,23.381368
龟岗大马路 ,4,113.294778,23.121344
东兴小区 ,4,113.311759,23.12255
海珠中路 ,4,113.256442,23.120514
都府社区 ,4,113.270036,23.129961
文明路 ,4,113.2737,23.122691
执信南路 ,4,113.292997,23.127447
共和路 ,4,113.307691,23.124737
华侨新村 ,4,113.290152,23.138389
保利麓苑 ,4,113.284012,23.141228
东风广场 ,4,113.310218,23.13304
锦桦大厦锦桦荟 ,4,113.288068,23.122083
海印大厦 ,3,113.319353,23.163542
海印苑 ,3,113.288565,23.119419
东湖新村 ,3,113.287167,23.118388
东风东路 ,3,113.297211,23.130875
新河浦路 ,3,113.293145,23.119183
德政北路 ,3,113.274384,23.129768
东湖北大院 ,3,113.291528,23.118458
广发花园 ,3,113.308575,23.134139
东川大厦 ,3,113.286559,23.121025
福今北 ,3,,
福今东 ,3,113.304438,23.130844
先烈中路81号大院 ,3,113.298457,23.140426
农林华府 ,3,113.29642,23.132274
惠福东路 ,3,113.265427,23.120612
竹丝岗二马路39号大院 ,3,113.295855,23.128886
梅东路 ,3,113.307495,23.130911
中山一路 ,3,113.305669,23.126573
纸行路 ,3,113.255687,23.124074
环球广场 ,3,113.254351,23.129279
净慧路 ,3,113.25739,23.12812
金湾畔大厦 ,3,113.279652,23.117657
寺右二马路 ,3,113.310038,23.117129
中山三路 ,3,113.282408,23.126961
朝天路 ,3,113.260451,23.125268
教工新村 ,3,113.301168,23.118601
共和西小区 ,3,113.302688,23.125277
丽苑大厦(越秀区) ,3,,
湖滨小区 ,3,113.287067,23.116413
金羊花园 ,3,113.309351,23.126729
应元路 ,3,113.26733,23.134909
福今路 ,3,113.302427,23.129418
三育路 ,3,113.300874,23.129332
珠光雅居 ,2,113.275079,23.118071
珠光路 ,2,113.273063,23.118639
八旗二马路 ,2,113.274443,23.115852
福今路3号大院 ,2,113.302096,23.126501
东风东路754号之一大院 ,2,113.300452,23.130713
东湖铭泰公馆 ,2,113.288828,23.118271
白云大厦 ,2,113.285234,23.120298
光塔路 ,2,113.257064,23.123184
黄花新村 ,2,113.291926,23.135991
共和苑 ,2,113.306,23.122269
菜园西 ,2,113.290728,23.123924
羊和园 ,2,113.306706,23.125806
大东门华庭 ,2,113.278423,23.12761
麓苑路 ,2,113.285147,23.141149
农林东路 ,2,113.299225,23.127488
东园新村 ,2,113.368975,23.199128
大沙头路 ,2,113.283577,23.114649
诗书路 ,2,113.254447,23.118691
越瑞大厦 ,2,113.254219,23.117065
广州机务段 ,2,113.244554,23.155939
广东国际大厦 ,2,113.282588,23.138325
锦源国际公寓 ,2,113.299247,23.084932
环市中路 ,2,113.270413,23.141807
东山公寓 ,2,113.303711,23.123686
越秀北路 ,2,113.263981,23.136751
东兴南小区 ,2,113.309447,22.97037
力迅商务大厦 ,2,113.342135,23.115433
冠城大厦 ,2,113.309674,23.1182
人民北路 ,2,113.256156,23.135727
起义路 ,2,113.26488,23.116494
恒福路11号大院 ,1,113.284576,23.144226
法政路 ,1,113.273387,23.13205
富宏花园 ,1,113.269406,23.13475
省政协宿舍 ,1,,
中山五路 ,1,113.265463,23.12554
东环路6号大院 ,1,113.306559,23.133648
德政中路 ,1,113.275426,23.12366
联发名阁 ,1,113.289248,23.120341
体委大院 ,1,113.322456,23.137153
站西路 ,1,113.24727,23.147758
六榕路 ,1,113.260515,23.127183
明达大厦 ,1,113.268816,23.134749
金麓山庄 ,1,113.272646,23.14803
翰林尚品 ,1,,
麓景东路 ,1,113.279433,23.143566
铁路大院 ,1,113.249405,23.148697
童心路 ,1,113.274815,23.140349
观湖雅轩 ,1,113.244628,23.134429
培正一横路 ,1,113.297049,23.118498
碧翠苑 ,1,113.358861,22.995314
百好居 ,1,113.29787,23.125102
广园东路 ,1,113.304927,23.154833
广信美景大厦 ,1,113.311227,23.12018
老报社大院 ,1,,
小北大厦 ,1,113.272166,23.134048
嘉诚国际公寓 ,1,113.314452,23.13824
农林上路 ,1,113.29724,23.126316
筑北商住楼 ,1,,
云鹤园 ,1,113.306124,23.136023
幸福小区 ,1,113.308292,23.118357
麓湖轩 ,1,113.281025,23.141681
淘金家园峯璟 ,1,113.294831,23.14353
万福路 ,1,113.274078,23.120143
中山二路 ,1,113.290929,23.125031
菜园东 ,1,113.290075,23.122218
小东园 ,1,113.297693,23.123782
宝山大厦 ,1,113.3087,23.13477
福今西 ,1,,
天秀大厦 ,1,113.274369,23.139145
金悦东山国际公馆 ,1,113.300693,23.146339
大新大厦 ,1,113.25727,23.116016
越秀花苑大厦 ,1,113.271516,23.135918
东园路 ,1,113.276719,23.116474
广信豪景大厦 ,1,113.310727,23.119463
海印花园 ,1,113.286215,23.114535
粮食局宿舍 ,1,113.244583,23.128402
烟墩路 ,1,113.297843,23.121001
东悦居 ,1,113.313092,23.120726
辉煌大厦 ,1,113.284837,23.119049
俊逸阁 ,1,,
东风东路754号大院 ,1,113.300712,23.13083
天字广场 ,1,113.270535,23.115029
培正路 ,1,113.297064,23.118837
龟岗三马路 ,1,113.294518,23.120648
长堤大马路 ,1,113.257447,23.11035
市委党校大院 ,1,113.303488,23.146319
北京路 ,1,113.268914,23.124091
庙前直街 ,1,113.295892,23.121393
一德路 ,1,113.259681,23.113231
共和西苑 ,1,113.305181,23.126057
海珠南路 ,1,113.256254,23.11549
东华市场东华东路 ,1,113.281194,23.447405
先烈中路 ,1,113.298348,23.139859
教育路(越秀) ,1,,
寺贝楼 ,1,,
淘金坑 ,1,113.286961,23.139478
海鹰大厦 ,1,113.259954,23.117699
东山华丰大厦 ,1,113.293447,23.119157
东华南路白云楼 ,1,113.285425,23.119417
梅花路 ,1,113.308736,23.129959
越华大厦 ,1,113.273445,23.127914
东山铭泰公馆 ,1,113.296574,23.124834
淘金家园二三期 ,1,113.295071,23.143243
北京南路 ,1,,
房建大厦 ,1,113.257096,23.12186
象岗山 ,1,113.260155,23.137554
广工大院 ,1,,
德雅轩 ,1,113.272655,23.124606
天誉商务大厦 ,1,113.306451,23.132352
三木国际公寓 ,1,,
建雅台 ,1,113.279451,23.123914
米市路 ,1,113.260654,23.1206
百灵路 ,1,113.260665,23.130791
天伦花园 ,1,113.283635,23.134432
北较场路 ,1,113.275682,23.137528
百兴苑 ,1,113.251008,23.150695
府前铭泰 ,1,113.428025,23.02736
太和岗路22号大院 ,1,113.297213,23.143661
文德先生 ,1,113.272854,23.11887
侨力大厦 ,1,113.264087,23.119949
仁济路 ,1,113.255392,23.111271
瑶泉新苑 ,1,,
文德广场 ,1,113.272947,23.117919
南天大厦 ,1,113.25583,23.116255
永福楼 ,1,113.300956,23.231407
嘉兰轩 ,1,,
保利中航城花园一期 ,54,113.674005,23.272014
保利中航城二期 ,36,113.242327,23.064409
品秀星图 ,28,113.637843,23.137029
保利立方花园 ,25,113.618782,23.189087
万科春风十里 ,24,113.754213,23.279234
东方名都花园 ,19,113.591429,23.125761
锦绣新天地 ,15,113.622938,23.118887
中海联睿品 ,14,113.633526,23.148025
保利平方花园 ,13,113.606888,23.193708
科慧花园 ,10,113.673032,23.280088
恒大山水城 ,10,113.616693,23.295822
香江天赋 ,10,113.3445,22.9944
新都盛世名门宏城汇 ,8,113.598722,23.12316
中国铁建国际花园 ,8,113.677386,23.273976
实地蔷薇国际 ,8,113.767392,23.288293
西福蓝湾 ,8,113.676094,23.270952
广汇尊府 ,8,,
尚东阳光 ,8,113.574632,23.102795
御溪世家 ,7,113.602309,23.290454
新都盛世名门 ,7,113.598724,23.125139
保利中海金地·大国璟 ,6,113.773941,23.27859
恒大山水郡 ,6,113.626683,23.333797
金色港湾 ,6,113.611349,23.115045
汇东国际花园 ,6,113.583694,23.118748
合汇学府名郡 ,5,113.581719,23.112255
顺欣花园 ,5,113.617465,23.146235
新塘新世界花园万象苑 ,5,113.571925,23.109766
保利东江首府 ,5,113.631639,23.109092
金地香山湖 ,5,113.616578,23.224196
中海联智汇城 ,5,113.642051,23.157715
海伦堡花园 ,5,113.558624,23.100455
时代名著(增城) ,5,113.745631,23.278867
荔富湖畔 ,5,113.747619,23.278305
碧桂园豪进左岸 ,4,113.803323,23.182188
碧桂园城市花园漫绿苑 ,4,113.678159,23.269878
富雅都市华庭 ,4,113.624432,23.13269
碧桂园豪进广场 ,4,113.592034,23.120379
海伦春天 ,4,113.5861,23.175075
绿地珑玥府 ,4,113.844207,23.271902
亚太新城亚太银座一期 ,4,113.607944,23.128939
奥园誉峯 ,4,113.600228,23.173473
荔城尚东 ,3,113.230345,23.308789
亚太新城亚太银座二期 ,3,113.607944,23.128939
金地荔湖城公园上城 ,3,113.604393,23.215271
碧桂园映象 ,3,113.624265,23.365298
华润置地公园上城 ,3,113.569617,23.117493
金泽华庭 ,3,113.618552,23.11519
合景誉山国际三区 ,3,113.608007,23.186365
新康花园 ,3,113.587723,23.115809
增城时代廊桥 ,3,113.617448,23.191531
富雅名居 ,2,113.612964,23.13159
碧桂园凤凰城凤盈苑 ,2,113.562779,23.128719
金时花园 ,2,113.856105,23.273895
广州万科城 ,2,113.449526,23.185493
宏达北路 ,2,113.613,23.108003
创基丽江国际 ,2,113.820531,23.271515
广州敏捷绿湖首府 ,2,113.788556,23.200594
恒展江山时代花园 ,2,113.678859,23.277495
锦绣御景国际四期 ,2,113.812019,23.289644
水电二局宿舍 ,2,113.601721,23.116086
大华东郡府 ,2,113.206555,23.40515
挂绿路 ,2,113.832436,23.289828
锦绣御景国际二期 ,2,113.806706,23.289969
逸翠庄园 ,2,113.772297,23.283186
中建荔苑 ,2,113.803726,23.301136
新景豪庭 ,2,113.585127,23.12244
叠溪花园 ,2,113.720416,23.245753
碧桂园城市花园花岸苑 ,2,113.679052,23.27051
荔城碧桂园 ,2,113.802638,23.287572
豪进山湖珺璟 ,2,113.592001,23.116063
翡翠绿洲湖绣苑 ,2,113.557665,23.134793
侨建御溪谷北区 ,2,113.609565,23.286107
东江逸珑湾 ,2,113.641959,23.108041
合景花漫里 ,2,113.599473,23.195553
敏捷东樾府 ,2,113.788023,23.196414
水电广场 ,2,113.602694,23.120812
碧桂园豪园挂绿湖 ,2,113.823859,23.224413
景新国际名城 ,2,113.628432,23.279429
继枚路 ,2,113.836021,23.290795
长风国际公寓 ,2,,
碧桂园中心 ,2,113.814571,23.273836
招商臻园 ,1,113.61576,23.152142
万科金色里程 ,1,113.728123,23.198194
汇港威华雅苑 ,1,113.740424,23.277064
凤秀家园 ,1,113.663399,23.282836
亚太新城富群苑 ,1,113.609498,23.129076
碧桂园豪园荔山苑 ,1,113.820986,23.221437
金地荔湖城水立坊 ,1,113.601622,23.217512
金泽豪庭一期 ,1,113.589503,23.12405
新塘新世界花园嘉华苑 ,1,113.576656,23.105191
万科桃源里 ,1,113.774293,23.484887
碧桂园荔园 ,1,113.84546,23.275843
碧桂园凤凰城凤晴苑 ,1,113.581717,23.158737
碧桂园中新首府 ,1,113.633624,23.351486
亚太新城富丽园 ,1,113.609542,23.127526
中新紫荆府 ,1,113.648548,23.275542
金泽花园 ,1,113.617201,23.11735
新塘新世界花园嘉怡苑 ,1,113.574104,23.10574
时代倾城(增城区) ,1,,
汇美体育花园 ,1,113.617392,23.133043
力诚凯怡湾 ,1,113.606894,23.114658
金马香颂居 ,1,113.787483,23.278616
丰泰城市公馆 ,1,113.620126,23.125053
碧桂园云顶 ,1,113.591695,23.121474
迪亚春天花园 ,1,113.30266,23.267402
翡翠绿洲森林半岛 ,1,113.560547,23.135947
增城雅居乐御宾府 ,1,113.804213,23.296573
广州敏捷绿湖首府二期 ,1,113.788556,23.200594
誉山国际五区学府里 ,1,113.607499,23.177855
太阳城巧克力 ,1,113.598233,23.16449
金茂万科都会四季 ,1,113.593116,23.107301
碧桂园凤凰城凤馨苑 ,1,113.597613,23.140087
南山丰景二期 ,1,113.607818,23.19597
惠百氏广场 ,1,113.583677,23.159087
恒福花园 ,1,113.612876,23.281221
时尚广场 ,1,113.60453,23.128997
东凌广场 ,1,113.593574,23.135675
翡翠绿洲育才阳光苑 ,1,113.55913,23.132899
碧桂园凤凰城凤仪苑 ,1,113.571462,23.132897
合生湖山国际5期峰荟 ,1,113.56736,23.127745
敏捷锦绣天伦 ,1,113.638119,23.126944
岗前路 ,1,113.391273,22.781191
莲园新村 ,1,113.832663,23.288793
莲园路 ,1,113.829756,23.288716
中建联投学府悦城 ,1,113.765281,23.283835
卫山东二路 ,1,113.611489,23.121398
太平洋花园 ,1,113.57803,23.117227
商业大厦生活小区 ,1,113.830832,23.298129
城市家园二期 ,1,113.616542,23.123953
景江大厦 ,1,113.616475,23.10667
通园中路 ,1,113.825154,23.3047
新利大厦 ,1,113.604821,23.116733
西城路五福街 ,1,113.830066,23.284218
城市家园一期 ,1,113.615124,23.124837
佳兆业佳泽园 ,1,113.38868,23.116798
富好城 ,1,113.663242,23.157063
增城万达广场 ,1,113.815083,23.275833
碧桂园凤凰城凤妍苑 ,1,113.576237,23.126802
翡翠绿洲湖滨苑 ,1,113.552793,23.135668
方圆云山诗意云玺 ,1,113.851111,23.18395
乐活小镇 ,1,113.866043,23.237978
